ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
72	metaleb	m e t a l e b	metaleb	m ɛ t a l ɛ b	mɛtalɛb	laag	low	LOW	721	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
73	keëroe	k e 'e r u	ke'eru	k ɛ ʔɛ r u	kɛʔɛru	diep	deep	DEEP	1593	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
74	meninim	m e n i n i m	meninim	m ɛ n i n i m	mɛninim	fijn	fine	FINE OR THIN	2157	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
75	mkabejoean	m k a b e y u a n	mkabeyuan	m k a b ɛ j u a n	mkabɛjuan	grof	coarse	COARSE	2151	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
76	mehroe	m e h r u	mehru	m ɛ h r u	mɛhru	schoon	clean	CLEAN	704	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
77	tamehroe	t a m e h r u	tamehru	t a m ɛ h r u	tamɛhru	leelijk	ugly	UGLY	1548	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
78	arehjoe	a r e ' y u	are'yu	a r ɛ ʔ j u	arɛʔju	verre	far	FAR	1406	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
79	melekre	m e l e k r e	melekre	m ɛ l ɛ k r ɛ	mɛlɛkrɛ	nabij	near	NEAR	1942	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
80	kepoe	k e p u	kepu	k ɛ p u	kɛpu	dik	thick	THICK	1244	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
81	menimpie	m e n i m p i	menimpi	m ɛ n i m p i	mɛnimpi	dun	thin	THIN	2308	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
82	moekeikei	m u k e i k e i	mukeikei	m u k ɛ i k ɛ i	mukɛikɛi	zoet	sweet	SWEET	717	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
83	melagah	m e l a g a '	melaga'	m ɛ l a ɡ a ʔ	mɛlaɡaʔ	zuur	sour	SOUR	1906	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
84	mohpognie	m o h p o g n i	mohpogni	m o h p o ɡ n i	mohpoɡni	bitter	bitter	BITTER	887	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
85	mekello	m e k e l l o	mekello	m ɛ k ɛ l l o	mɛkɛllo	hard	hard	HARD	1884	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
86	mahmehme	m a h m e h m e	mahmehme	m a h m ɛ h m ɛ	mahmɛhmɛ	week	soft	SOFT	1856	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
87	meroket	m e r o k e t	meroket	m ɛ r o k ɛ t	mɛrokɛt	heet	hot	HOT	1286	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
88	melebet	m e l e b e t	melebet	m ɛ l ɛ b ɛ t	mɛlɛbɛt	koud	cold	COLD	1287	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
89	menggamang	m e ng g a m a ng	menggamang	m ɛ ŋ ɡ a m a ŋ	mɛŋɡamaŋ	naarstig	diligently	DILIGENT	2077	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
90	mobehlie	m o b e h l i	mobehli	m o b ɛ h l i	mobɛhli	lui	lazy	LAZY	1564	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
91	meboeted	m e b u t e d	mebuted	m ɛ b u t ɛ d	mɛbutɛd	stinkend	stinking	STINKING	42	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
92	tjeeget	c e e g e t	ceeget	t͡ʒ ɛ ɛ ɡ ɛ t	t͡ʒɛɛɡɛt	genoeg	enough	ENOUGH	1881	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
93	tabettjeeget	t a b e t c e e g e t	tabetceeget	t a b ɛ t t͡ʒ ɛ ɛ ɡ ɛ t	tabɛtt͡ʒɛɛɡɛt	niet genoeg	not enough	LACK (NOT HAVE)	2329	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
94	kapagaa	k a p a g a a	kapagaa	k a p a ɡ a a	kapaɡaa	van binnen	inside	INSIDE	1606	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
95	kapatoh	k a p a t o '	kapato'	k a p a t o ʔ	kapatoʔ	van buiten	outside	OUTSIDE	762	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
96	meschako	m e s a k o	mesako	m ɛ ʃ a k o	mɛʃako	vermoeid	tired	TIRED	1757	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
97	mahmeng	m a h m e ng	mahmeng	m a h m ɛ ŋ	mahmɛŋ	stil	silent	BE SILENT	48	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
98	mobehsie	m o b e h s i	mobehsi	m o b ɛ h s i	mobɛhsi	ziek	sick	SICK	1847	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
99	onon	o n o n	onon	o n o n	onon	ja	yes	YES	1268	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
100	taneij	t a n e:i	tane:i	t a n ɛi̯	tanɛi̯	neen	no	NO	1269	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
101	kei	k e i	kei	k ɛ i	kɛi	ik	me	ME	2301	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
102	kam	k a m	kam	k a m	kam	gij	thou	THOU	1215	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
103	kassia	k a s s i a	kassia	k a s s i a	kassia	hij	he	HE	1211	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
104	akoesebakatnija	a k u s e b a k a t n i y a	akusebakatniya	a k u s ɛ b a k a t n i j a	akusɛbakatnija	mijn	my	MY	2090	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
105	kamsebakatnija	k a m s e b a k a t n i y a	kamsebakatniya	k a m s ɛ b a k a t n i j a	kamsɛbakatnija	zijn	his	HIS (GENITIVE OF HE)	2473	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
106	keijlejoe	k e:i l e y u	ke:ileyu	k ɛi̯ l ɛ j u	kɛi̯lɛju	hier	here	HERE	136	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
107	eikoij	e i k o:i	eiko:i	ɛ i k oːi̯	ɛikoːi̯	dit en dat	this and that	<NA>		430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
108	mefoeschoe	m e f u s u	mefusu	m ɛ f u ʃ u	mɛfuʃu	zwart	black	BLACK	163	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
109	meboelau	m e b u l a u	mebulau	m ɛ b u l a u	mɛbulau	wit	white	WHITE	1335	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
110	maboogat	m a b o o g a t	maboogat	m a b o o ɡ a t	mabooɡat	rood	red	RED	156	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
111	maliemoen	m a l i m u n	malimun	m a l i m u n	malimun	groen	green	GREEN	1425	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
112	makinoe	m a k i n u	makinu	m a k i n u	makinu	geel	yellow	YELLOW	1424	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
113	mesoerau	m e s u r a u	mesurau	m ɛ s u r a u	mɛsurau	blaauw	blue	BLUE	837	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
114	mopatoh	m o p a t o '	mopato'	m o p a t o ʔ	mopatoʔ	klaar	ready	READY	790	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
115	mogebgeb	m o g e b g e b	mogebgeb	m o ɡ ɛ b ɡ ɛ b	moɡɛbɡɛb	donker	dark	DARK	706	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
116	mopatoh	m o p a t o '	mopato'	m o p a t o ʔ	mopatoʔ	dag	day	DAY (NOT NIGHT)	1225	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
117	moschebo	m o s e b o	mosebo	m o ʃ ɛ b o	moʃɛbo	nacht	night	NIGHT	1233	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
